severe_hospital_name,hpid,severe_myocardial_infarction_reperfusion_yn,severe_infant_intussusception_obstruction_yn,severe_adult_gi_emergency_endoscopy_yn,severe_infant_gi_emergency_endoscopy_yn,severe_adult_bronchial_emergency_endoscopy_yn,severe_infant_bronchial_emergency_endoscopy_yn,severe_low_birth_weight_infant_intensive_care_yn,severe_obstetric_delivery_yn,severe_obstetric_surgery_yn,severe_gynecologic_surgery_yn,severe_burn_specialized_treatment_yn,severe_cerebral_infarction_reperfusion_yn,severe_finger_toe_replantation_yn,severe_other_limb_replantation_yn,severe_emergency_dialysis_hd_yn,severe_emergency_dialysis_crrt_yn,severe_psychiatric_emergency_closed_ward_yn,severe_ophthalmic_emergency_surgery_yn,severe_adult_interventional_radiology_yn,severe_infant_interventional_radiology_yn,severe_er_gatekeeper_yn,severe_subarachnoid_hemorrhage_surgery_yn,severe_other_cerebral_hemorrhage_surgery_yn,severe_thoracic_aortic_emergency_yn,severe_abdominal_aortic_emergency_yn,severe_gallbladder_disease_yn,severe_biliary_tract_disease_yn,severe_nontraumatic_abdominal_emergency_surgery_yn,severe_infant_intussusception_obstruction_msg,severe_infant_gi_emergency_endoscopy_msg,severe_low_birth_weight_infant_msg,severe_infant_interventional_radiology_msg,query_sido,query_sigungu,severe_infant_bronchial_emergency_endoscopy_msg,severe_collected_at
횡성대성병원,A2200016,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,강원특별자치도,횡성군,,2026-05-23 19:35:48
의료법인자인의료재단(더자인병원),A2100290,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,고양시,,2026-05-23 19:35:48
의료법인명지의료재단명지병원,A2100042,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,고양시,,2026-05-23 19:35:48
동국대학교일산불교병원,A2100047,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,UNKNOWN,,,,,경기도,고양시,,2026-05-23 19:35:48
국민건강보험공단일산병원,A2100033,Y,Y,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,고양시,,2026-05-23 19:35:48
국립암센터,A2100049,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,고양시,,2026-05-23 19:35:48
의료법인성광의료재단일산차병원,A2116972,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,고양시,,2026-05-23 19:35:48
인제대학교일산백병원,A2100038,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,Y,Y,UNKNOWN,Y,,,,,경기도,고양시,,2026-05-23 19:35:48
중앙대학교광명병원,A2118788,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,광명시,,2026-05-23 19:35:48
광명성애병원,A2100007,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,광명시,,2026-05-23 19:35:48
